-------------------
INSTANCE ATTRIBUTES
-------------------
NAME: egl-s4-C.ocarp
VEHICLES: 37
CAPACITY: 120
NODES: 140
EDGES: 190
REQUIRED_EDGES: 190
<NODE1> <NODE2> <REQ> <COST> <DEMAND>
136 138 1 5.00 5.00
136 137 1 29.00 29.00
134 136 1 31.00 31.00
134 135 1 14.00 14.00
133 135 1 19.00 19.00
133 134 1 10.00 10.00
132 133 1 7.00 7.00
131 138 1 47.00 47.00
131 132 1 5.00 5.00
128 129 1 23.00 23.00
127 129 1 11.00 11.00
127 128 1 22.00 22.00
126 131 1 26.00 26.00
126 130 1 35.00 35.00
126 127 1 15.00 15.00
125 138 1 20.00 20.00
124 126 1 11.00 11.00
123 125 1 32.00 32.00
123 124 1 29.00 29.00
122 123 1 15.00 15.00
121 122 1 8.00 8.00
120 123 1 32.00 32.00
120 121 1 16.00 16.00
119 120 1 14.00 14.00
118 121 1 17.00 17.00
117 119 1 24.00 24.00
117 118 1 49.00 49.00
116 117 1 19.00 19.00
115 117 1 20.00 20.00
115 116 1 10.00 10.00
114 118 1 58.00 58.00
114 115 1 36.00 36.00
113 114 1 12.00 12.00
112 113 1 4.00 4.00
110 112 1 13.00 13.00
110 111 1 7.00 7.00
108 109 1 103.00 103.00
107 112 1 13.00 13.00
107 110 1 8.00 8.00
107 108 1 25.00 25.00
106 108 1 38.00 38.00
106 107 1 28.00 28.00
105 106 1 15.00 15.00
104 105 1 6.00 6.00
103 113 1 46.00 46.00
102 104 1 21.00 21.00
102 103 1 42.00 42.00
101 102 1 17.00 17.00
99 100 1 33.00 33.00
97 99 1 37.00 37.00
97 98 1 3.00 3.00
96 99 1 10.00 10.00
96 97 1 17.00 17.00
95 96 1 8.00 8.00
94 101 1 4.00 4.00
94 100 1 17.00 17.00
94 95 1 49.00 49.00
93 94 1 17.00 17.00
91 118 1 35.00 35.00
91 103 1 27.00 27.00
90 91 1 7.00 7.00
89 92 1 10.00 10.00
88 90 1 12.00 12.00
88 89 1 14.00 14.00
87 122 1 15.00 15.00
86 88 1 33.00 33.00
86 87 1 4.00 4.00
85 86 1 20.00 20.00
84 92 1 29.00 29.00
84 85 1 10.00 10.00
83 84 1 18.00 18.00
82 92 1 26.00 26.00
82 84 1 13.00 13.00
82 83 1 10.00 10.00
81 83 1 17.00 17.00
80 82 1 16.00 16.00
80 81 1 10.00 10.00
79 81 1 9.00 9.00
79 80 1 12.00 12.00
78 79 1 12.00 12.00
77 78 1 15.00 15.00
76 77 1 10.00 10.00
75 76 1 47.00 47.00
74 76 1 27.00 27.00
73 74 1 5.00 5.00
72 74 1 15.00 15.00
72 73 1 18.00 18.00
71 75 1 36.00 36.00
71 72 1 9.00 9.00
70 71 1 9.00 9.00
69 71 1 6.00 6.00
69 70 1 8.00 8.00
68 90 1 67.00 67.00
67 69 1 4.00 4.00
67 68 1 9.00 9.00
66 101 1 28.00 28.00
66 91 1 69.00 69.00
66 67 1 33.00 33.00
64 93 1 28.00 28.00
64 65 1 15.00 15.00
63 93 1 25.00 25.00
63 64 1 9.00 9.00
62 66 1 37.00 37.00
62 63 1 7.00 7.00
60 61 1 35.00 35.00
59 61 1 31.00 31.00
59 60 1 18.00 18.00
58 70 1 11.00 11.00
58 59 1 40.00 40.00
57 62 1 14.00 14.00
57 58 1 20.00 20.00
56 65 1 30.00 30.00
56 57 1 49.00 49.00
55 140 1 14.00 14.00
55 56 1 4.00 4.00
54 140 1 18.00 18.00
54 55 1 10.00 10.00
53 140 1 24.00 24.00
52 53 1 12.00 12.00
51 52 1 12.00 12.00
50 51 1 30.00 30.00
49 61 1 13.00 13.00
49 140 1 24.00 24.00
48 50 1 8.00 8.00
48 49 1 10.00 10.00
48 139 1 49.00 49.00
46 77 1 16.00 16.00
46 47 1 7.00 7.00
45 60 1 15.00 15.00
44 73 1 36.00 36.00
44 45 1 14.00 14.00
43 46 1 5.00 5.00
43 44 1 31.00 31.00
42 47 1 4.00 4.00
42 43 1 5.00 5.00
41 47 1 99.00 99.00
40 41 1 12.00 12.00
39 40 1 18.00 18.00
38 41 1 10.00 10.00
38 39 1 6.00 6.00
37 43 1 16.00 16.00
37 42 1 17.00 17.00
36 38 1 25.00 25.00
36 37 1 20.00 20.00
35 37 1 17.00 17.00
35 36 1 4.00 4.00
34 45 1 4.00 4.00
34 35 1 59.00 59.00
34 139 1 49.00 49.00
33 139 1 13.00 13.00
30 32 1 28.00 28.00
30 31 1 41.00 41.00
29 33 1 52.00 52.00
28 30 1 5.00 5.00
28 29 1 5.00 5.00
27 28 1 6.00 6.00
26 31 1 12.00 12.00
25 27 1 19.00 19.00
25 26 1 48.00 48.00
24 25 1 10.00 10.00
23 26 1 20.00 20.00
23 24 1 56.00 56.00
21 23 1 55.00 55.00
20 24 1 33.00 33.00
20 22 1 10.00 10.00
20 21 1 58.00 58.00
18 19 1 6.00 6.00
17 18 1 8.00 8.00
15 17 1 13.00 13.00
15 16 1 8.00 8.00
13 16 1 12.00 12.00
13 17 1 6.00 6.00
13 14 1 18.00 18.00
12 20 1 34.00 34.00
12 13 1 12.00 12.00
11 27 1 50.00 50.00
11 33 1 24.00 24.00
11 12 1 25.00 25.00
10 19 1 28.00 28.00
10 15 1 13.00 13.00
9 10 1 12.00 12.00
8 11 1 48.00 48.00
8 9 1 37.00 37.00
6 8 1 10.00 10.00
6 7 1 21.00 21.00
5 6 1 26.00 26.00
4 124 1 67.00 67.00
3 128 1 41.00 41.00
2 117 1 16.00 16.00
1 116 1 18.00 18.00



-------------------
SOLUTION ATTRIBUTES
-------------------
PATH_REQUIRED_ARCS <no.> <cost> <remaining capacity> <# req. arcs>: <reqArc 1-start>-<reqArc 1-end> <reqArc 2-start>-<reqArc 2-end> ... <reqArc k-start>-<reqArc k-end>
PATH 1 103.0 17.0 1: 109-108 
PATH 2 120.0 0.0 7: 106-105 105-104 104-102 102-101 101-94 94-95 95-96 
PATH 3 120.0 3.0 6: 99-96 96-97 98-97 97-99 99-100 100-94 
PATH 4 112.0 8.0 5: 102-103 103-113 113-112 112-110 110-111 
PATH 5 112.0 8.0 5: 110-107 107-108 108-106 106-107 107-112 
PATH 6 125.0 5.0 6: 113-114 114-115 116-117 117-115 115-116 116-1 
PATH 7 120.0 0.0 3: 114-118 118-91 91-103 
PATH 8 118.0 2.0 4: 90-91 91-66 66-67 67-68 
PATH 9 112.0 8.0 3: 68-90 90-88 88-86 
PATH 10 118.0 2.0 5: 2-117 117-119 119-120 120-123 123-125 
PATH 11 122.0 3.0 4: 137-136 138-131 131-126 126-127 
PATH 12 97.0 23.0 4: 128-127 127-129 129-128 128-3 
