-------------------
INSTANCE ATTRIBUTES
-------------------
NAME: egl-s1-B.ocarp
VEHICLES: 12
CAPACITY: 150
NODES: 140
EDGES: 190
REQUIRED_EDGES: 75
<NODE1> <NODE2> <REQ> <COST> <DEMAND>
136 138 0 5.00 0.00
136 137 0 29.00 0.00
134 136 0 31.00 0.00
134 135 0 14.00 0.00
133 135 0 19.00 0.00
133 134 0 10.00 0.00
132 133 0 7.00 0.00
131 138 0 47.00 0.00
131 132 0 5.00 0.00
128 129 0 23.00 0.00
127 129 0 11.00 0.00
127 128 0 22.00 0.00
126 131 0 26.00 0.00
126 127 0 15.00 0.00
126 130 1 35.00 35.00
125 138 0 20.00 0.00
124 126 1 11.00 11.00
123 125 0 32.00 0.00
123 124 0 29.00 0.00
122 123 0 15.00 0.00
121 122 0 8.00 0.00
120 123 0 32.00 0.00
120 121 0 16.00 0.00
119 120 0 14.00 0.00
118 121 0 17.00 0.00
117 118 0 49.00 0.00
117 119 1 24.00 24.00
116 117 1 19.00 19.00
115 117 0 20.00 0.00
115 116 0 10.00 0.00
114 115 0 36.00 0.00
114 118 1 58.00 58.00
113 114 1 12.00 12.00
112 113 1 4.00 4.00
110 112 1 13.00 13.00
110 111 1 7.00 7.00
108 109 1 103.00 103.00
107 112 1 13.00 13.00
107 110 1 8.00 8.00
107 108 1 25.00 25.00
106 108 0 38.00 0.00
106 107 1 28.00 28.00
105 106 1 15.00 15.00
104 105 1 6.00 6.00
103 113 0 46.00 0.00
102 103 0 42.00 0.00
102 104 1 21.00 21.00
101 102 0 17.00 0.00
99 100 0 33.00 0.00
97 99 0 37.00 0.00
97 98 1 3.00 3.00
96 99 0 10.00 0.00
96 97 1 17.00 17.00
95 96 1 8.00 8.00
94 101 0 4.00 0.00
94 100 0 17.00 0.00
94 95 0 49.00 0.00
93 94 0 17.00 0.00
91 118 0 35.00 0.00
91 103 0 27.00 0.00
90 91 0 7.00 0.00
89 92 0 10.00 0.00
88 90 0 12.00 0.00
88 89 0 14.00 0.00
87 122 0 15.00 0.00
86 88 0 33.00 0.00
86 87 1 4.00 4.00
85 86 1 20.00 20.00
84 92 0 29.00 0.00
84 85 1 10.00 10.00
83 84 0 18.00 0.00
82 92 0 26.00 0.00
82 83 0 10.00 0.00
82 84 1 13.00 13.00
81 83 0 17.00 0.00
80 81 0 10.00 0.00
80 82 1 16.00 16.00
79 81 0 9.00 0.00
79 80 1 12.00 12.00
78 79 1 12.00 12.00
77 78 1 15.00 15.00
76 77 0 10.00 0.00
75 76 0 47.00 0.00
74 76 0 27.00 0.00
73 74 0 5.00 0.00
72 74 0 15.00 0.00
72 73 1 18.00 18.00
71 75 0 36.00 0.00
71 72 1 9.00 9.00
70 71 0 9.00 0.00
69 70 0 8.00 0.00
69 71 1 6.00 6.00
68 90 0 67.00 0.00
67 69 1 4.00 4.00
67 68 1 9.00 9.00
66 101 0 28.00 0.00
66 91 0 69.00 0.00
66 67 1 33.00 33.00
64 93 0 28.00 0.00
64 65 1 15.00 15.00
63 93 0 25.00 0.00
63 64 1 9.00 9.00
62 66 1 37.00 37.00
62 63 1 7.00 7.00
60 61 0 35.00 0.00
59 61 0 31.00 0.00
59 60 0 18.00 0.00
58 70 0 11.00 0.00
58 59 0 40.00 0.00
57 62 0 14.00 0.00
57 58 0 20.00 0.00
56 65 0 30.00 0.00
56 57 0 49.00 0.00
55 140 1 14.00 14.00
55 56 1 4.00 4.00
54 140 0 18.00 0.00
54 55 1 10.00 10.00
53 140 0 24.00 0.00
52 53 0 12.00 0.00
51 52 0 12.00 0.00
50 51 0 30.00 0.00
49 61 0 13.00 0.00
49 140 1 24.00 24.00
48 50 0 8.00 0.00
48 139 0 49.00 0.00
48 49 1 10.00 10.00
46 47 0 7.00 0.00
46 77 1 16.00 16.00
45 60 0 15.00 0.00
44 73 1 36.00 36.00
44 45 1 14.00 14.00
43 46 1 5.00 5.00
43 44 1 31.00 31.00
42 47 0 4.00 0.00
42 43 0 5.00 0.00
41 47 0 99.00 0.00
40 41 0 12.00 0.00
39 40 1 18.00 18.00
38 41 0 10.00 0.00
38 39 1 6.00 6.00
37 42 0 17.00 0.00
37 43 1 16.00 16.00
36 38 1 25.00 25.00
36 37 1 20.00 20.00
35 37 0 17.00 0.00
35 36 0 4.00 0.00
34 35 0 59.00 0.00
34 45 1 4.00 4.00
34 139 1 49.00 49.00
33 139 1 13.00 13.00
30 31 0 41.00 0.00
30 32 1 28.00 28.00
29 33 0 52.00 0.00
28 30 1 5.00 5.00
28 29 1 5.00 5.00
27 28 1 6.00 6.00
26 31 0 12.00 0.00
25 26 0 48.00 0.00
25 27 1 19.00 19.00
24 25 1 10.00 10.00
23 26 0 20.00 0.00
23 24 0 56.00 0.00
21 23 0 55.00 0.00
20 21 0 58.00 0.00
20 24 1 33.00 33.00
20 22 1 10.00 10.00
18 19 0 6.00 0.00
17 18 0 8.00 0.00
15 17 0 13.00 0.00
15 16 0 8.00 0.00
13 16 0 12.00 0.00
13 17 0 6.00 0.00
13 14 1 18.00 18.00
12 20 0 34.00 0.00
12 13 1 12.00 12.00
11 27 1 50.00 50.00
11 33 1 24.00 24.00
11 12 1 25.00 25.00
10 19 0 28.00 0.00
10 15 0 13.00 0.00
9 10 0 12.00 0.00
8 11 1 48.00 48.00
8 9 1 37.00 37.00
6 7 0 21.00 0.00
6 8 1 10.00 10.00
5 6 1 26.00 26.00
4 124 0 67.00 0.00
3 128 0 41.00 0.00
2 117 1 16.00 16.00
1 116 1 18.00 18.00



-------------------
SOLUTION ATTRIBUTES
-------------------
PATH_REQUIRED_ARCS <no.> <cost> <remaining capacity> <# req. arcs>: <reqArc 1-start>-<reqArc 1-end> <reqArc 2-start>-<reqArc 2-end> ... <reqArc k-start>-<reqArc k-end>
PATH 1 72.0 78.0 4: 22-20 20-24 24-25 25-27 
PATH 2 154.0 1.0 8: 32-30 30-28 29-28 28-27 27-11 11-12 12-13 13-14 
PATH 3 73.0 77.0 3: 9-8 8-6 6-5 
PATH 4 138.0 12.0 5: 8-11 11-33 33-139 139-34 34-45 
PATH 5 66.0 88.0 5: 48-49 49-140 140-55 55-56 55-54 
PATH 6 156.0 3.0 10: 65-64 64-63 63-62 62-66 66-67 68-67 67-69 69-71 71-72 72-73 
PATH 7 180.0 0.0 7: 73-44 45-44 44-43 37-36 36-38 38-39 39-40 
PATH 8 139.0 11.0 11: 37-43 43-46 46-77 77-78 78-79 79-80 80-82 82-84 84-85 85-86 86-87 
PATH 9 46.0 104.0 2: 124-126 126-130 
PATH 10 210.0 3.0 6: 1-116 116-117 2-117 117-119 118-114 114-113 
